StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q11,Q13,Q12,Q1,Q2 _1,Q3_1,Q4,Q5_1,Q6,Q7,Q8,TREATMENT
2025-05-03 16:43:19,2025-05-03 17:40:28,IP Address,200.68.185.189,100,3429,True,2025-05-03 17:40:29,R_5R3FSa07sTqR8IN,,,,,20.6589,-100.4165,anonymous,EN,"En 5 años mmm, claramente me tomo por sorpresa porque en este momento hago lo que me gusta hacer ,  y lo mas importante creo seria seguir conociendome,  las tres preguntas se engloban en eso",,,Daily,9,7,Yes,9,Weekly,51,Female,T1:JOURNALING
2025-05-03 19:57:15,2025-05-03 19:58:49,IP Address,92.185.132.243,100,94,True,2025-05-03 19:58:50,R_2n3d7ccas9XS5VD,,,,,41.9216,3.1598,anonymous,EN,,,Cat Person,Daily,8,8,No,10,Daily,52,Female,CONTROL
2025-05-03 20:02:24,2025-05-03 20:06:05,IP Address,200.68.136.173,100,221,True,2025-05-03 20:06:05,R_1ah8cvHzXbhjATz,,,,,17.9883,-92.9309,anonymous,EN,,I watched the video,,Monthly,0,0,No,0,Daily,52,Female,T2: VIDEO
2025-05-03 20:21:50,2025-05-04 02:23:48,IP Address,189.128.139.245,100,21718,True,2025-05-04 02:23:49,R_1spDXuyQN5zz02V,,,,,20.6626,-100.3649,anonymous,EN,,,Dog Person,Monthly,10,10,Yes,10,Daily,55,Female,CONTROL
2025-05-04 04:49:52,2025-05-04 05:03:17,IP Address,172.226.122.16,100,804,True,2025-05-04 05:03:18,R_139yezyYJ73gK7B,,,,,19.4324,-99.1229,anonymous,EN,,I watched the video,,Monthly,7,10,No,9,Weekly,51,Male,T2: VIDEO
2025-05-05 07:54:19,2025-05-05 07:55:53,IP Address,195.34.145.50,100,93,True,2025-05-05 07:55:53,R_2RvHql21OLNampL,,,,,48.2202,16.3529,anonymous,EN,,,Cat Person,Daily,7,4,Yes,4,Never,19,Male,CONTROL
2025-05-05 09:10:13,2025-05-05 09:14:27,IP Address,213.142.97.38,100,253,True,2025-05-05 09:14:27,R_2gbW4j8M1fq1ojo,,,,,48.1982,16.3917,anonymous,EN,,I watched the video,,Daily,8,8,Yes,8,Weekly,20,Male,T2: VIDEO
2025-05-05 09:52:29,2025-05-05 09:53:09,IP Address,137.208.217.94,100,40,True,2025-05-05 09:53:10,R_2m2L9P02A2XfANH,,,,,48.2169,16.4997,anonymous,EN,,,Dog Person,Daily,7,3,No,6,Never,20,Male,CONTROL
2025-05-05 11:42:53,2025-05-05 11:44:38,IP Address,178.115.41.108,100,105,True,2025-05-05 11:44:39,R_29t7LPZtbrgx7EA,,,,,48.301,16.3448,anonymous,EN,,,Dog Person,Daily,8,3,No,9,Never,18,Male,CONTROL
2025-05-05 11:59:20,2025-05-05 12:00:21,IP Address,91.141.35.42,100,61,True,2025-05-05 12:00:22,R_7jfGn7W78XaRhSm,,,,,48.2133,16.2966,anonymous,EN,,,Dog Person,Monthly,7,2,Yes,9,Monthly,20,Female,CONTROL
2025-05-05 12:24:00,2025-05-05 12:25:21,IP Address,213.47.76.43,100,81,True,2025-05-05 12:25:21,R_3wRXLzLc8gkztzC,,,,,48.1436,16.2941,anonymous,EN,,I watched the video,,Weekly,8,10,Yes,10,Never,21,Male,T2: VIDEO
2025-05-05 12:37:48,2025-05-05 12:46:59,IP Address,137.208.216.26,100,550,True,2025-05-05 12:46:59,R_8XuYFCt56Hv6uUF,,,,,48.2169,16.4997,anonymous,EN,"In 5 years, I want my life to look like a very interesting, busy and organised event.
One goal that matters most to me right now is developing my skills, creating new opportunities for my future self.
What’s one small thing I could do this week to get closer to that goal is to try new things (e.g. I want to teach English, for that I need to create my profile and collect materials -> it will create a new opportunity to get money and develop my social skills)",,,Daily,9,7,Yes,10,Weekly,19,Female,T1:JOURNALING
2025-05-05 13:52:02,2025-05-05 13:52:56,IP Address,213.185.164.119,100,53,True,2025-05-05 13:52:56,R_82jfLo3z8us4VlT,,,,,48.2049,16.3662,anonymous,EN,,,Dog Person,Daily,5,5,No,3,Weekly,21,Female,CONTROL
2025-05-05 14:07:47,2025-05-05 14:09:13,IP Address,84.114.19.114,100,85,True,2025-05-05 14:09:14,R_8CxWemvTUrNIi4z,,,,,48.2372,16.3771,anonymous,EN,,I watched the video,,Monthly,3,6,No,9,Never,20,Male,T2: VIDEO
2025-05-05 16:10:45,2025-05-05 16:12:45,IP Address,137.43.249.17,100,120,True,2025-05-05 16:12:46,R_81dDWv6NmOCIuve,,,,,53.3586,-6.2483,anonymous,EN,"a) Stable, connected, exciting
b) Getting into grad school and focusing on research while staying in touch with my friends
c) Continue working on my research while still taking the time to go out with my friends and do stuff like hikes",,,Daily,9,8,Yes,8,Never,21,Male,T1:JOURNALING
