year,state,dtype,agegr,count,pop,age,legal,mrate
1971,34,all,18-20 yrs,405,346116,18.971067,0,117.01279
1972,34,all,18-20 yrs,368,356780,18.98008,0,103.1448
1973,34,all,18-20 yrs,430,361033,18.981323,1,119.10268
1974,34,all,18-20 yrs,427,365441,18.985926,1,116.84512
1975,34,all,18-20 yrs,424,372021,18.980173,1,113.97206
1976,34,all,18-20 yrs,375,377849,18.982311,1,99.245995
1977,34,all,18-20 yrs,391,380597,18.997292,1,102.73334
1978,34,all,18-20 yrs,349,377580,19.0049,1,92.43074
1979,34,all,18-20 yrs,392,377821,18.999146,1,103.75284
1980,34,all,18-20 yrs,402,385532,18.986185,.82999784,104.2715
1981,34,all,18-20 yrs,360,397438,18.982183,.65952426,90.58017
1982,34,all,18-20 yrs,317,403931,18.993734,.6682874,78.478752
1983,34,all,18-20 yrs,293,402264,19.018057,.50856215,72.837738
1970,35,all,18-20 yrs,118,55387,18.960478,0,213.04639
1971,35,all,18-20 yrs,146,60360,18.953413,0,241.88203
1972,35,all,18-20 yrs,120,64226,18.965466,0,186.84023
1973,35,all,18-20 yrs,158,67565,18.978376,0,233.84889
1974,35,all,18-20 yrs,160,69090,18.984818,0,231.582
1975,35,all,18-20 yrs,147,71584,18.97818,0,205.35315
1976,35,all,18-20 yrs,113,73623,18.984583,0,153.48465
1977,35,all,18-20 yrs,151,74960,18.997305,0,201.44077
1978,35,all,18-20 yrs,152,75387,18.989666,0,201.62628
1979,35,all,18-20 yrs,165,78175,18.989216,0,211.06491
1980,35,all,18-20 yrs,165,79220,18.999697,0,208.28073
1981,35,all,18-20 yrs,145,80342,18.998966,0,180.47845
1982,35,all,18-20 yrs,149,80739,19.004967,0,184.54526
1983,35,all,18-20 yrs,123,80207,19.028639,0,153.3532
1970,36,all,18-20 yrs,1205,886289,18.975348,1,135.96016
1971,36,all,18-20 yrs,1315,912868,18.986723,1,144.0515
1972,36,all,18-20 yrs,1292,925101,18.992117,1,139.66043
1973,36,all,18-20 yrs,1239,928442,18.989464,1,133.44937
1974,36,all,18-20 yrs,1154,937282,18.991844,1,123.12196
1975,36,all,18-20 yrs,1071,954275,18.987728,1,112.2318
1976,36,all,18-20 yrs,987,966259,18.988428,1,102.14652
1977,36,all,18-20 yrs,1064,970274,18.998148,1,109.65974
1978,36,all,18-20 yrs,1021,961465,19.002703,1,106.19212
1979,36,all,18-20 yrs,1047,959533,18.997898,1,109.11558
1980,36,all,18-20 yrs,1065,954593,18.999537,1,111.56587
1981,36,all,18-20 yrs,999,960633,19.007622,1,103.99393
1982,36,all,18-20 yrs,920,960020,19.007126,.97491151,95.831337
1983,36,all,18-20 yrs,894,956589,19.018017,.67976946,93.457062
1970,37,all,18-20 yrs,472,319497,18.996059,1,147.73222
1971,37,all,18-20 yrs,503,326326,19.009634,1,154.14034
1972,37,all,18-20 yrs,502,332761,19.00724,1,150.85902
1973,37,all,18-20 yrs,525,339943,19.004822,1,154.43765
1974,37,all,18-20 yrs,479,347822,19.007055,1,137.71411
1975,37,all,18-20 yrs,476,355609,19.003656,1,133.85487
1976,37,all,18-20 yrs,503,359208,19.011862,1,140.03029
1977,37,all,18-20 yrs,454,361820,19.019802,1,125.47675
1978,37,all,18-20 yrs,468,363652,19.015102,1,128.69447
1979,37,all,18-20 yrs,442,364561,19.014732,1,121.24171
1980,37,all,18-20 yrs,477,366378,19.025978,1,130.19341
1981,37,all,18-20 yrs,432,359303,19.046333,1,120.23278
1982,37,all,18-20 yrs,381,349426,19.036171,1,109.03596
1983,37,all,18-20 yrs,320,342898,19.037798,.92218155,93.322212
1970,38,all,18-20 yrs,51,35662,18.958078,0,143.00937
1971,38,all,18-20 yrs,51,37520,18.988407,0,135.92751
1972,38,all,18-20 yrs,72,38354,19.002607,0,187.72488
1973,38,all,18-20 yrs,59,38887,18.988531,0,151.72165
1974,38,all,18-20 yrs,51,39832,18.992369,0,128.03777
1975,38,all,18-20 yrs,66,40901,19.002029,0,161.36525
1976,38,all,18-20 yrs,49,41990,19.010027,0,116.69445
1977,38,all,18-20 yrs,64,42580,19.018623,0,150.30531
1978,38,all,18-20 yrs,47,42637,19.031382,0,110.23289
1979,38,all,18-20 yrs,55,42512,19.036154,0,129.37523
1980,38,all,18-20 yrs,73,42208,19.03677,0,172.95299
1981,38,all,18-20 yrs,58,40897,19.049637,0,141.81969
1982,38,all,18-20 yrs,36,39504,19.045818,0,91.130013
1983,38,all,18-20 yrs,32,38237,19.052723,0,83.688576
1970,39,all,18-20 yrs,710,557960,18.956127,1,127.24927
1971,39,all,18-20 yrs,681,582988,18.964848,1,116.81201
1972,39,all,18-20 yrs,650,599641,18.977247,1,108.39819
1973,39,all,18-20 yrs,730,612488,18.981264,1,119.18601
1974,39,all,18-20 yrs,730,622401,18.989843,1,117.28773
1975,39,all,18-20 yrs,719,634722,18.983944,1,113.27794
1976,39,all,18-20 yrs,710,640222,18.984041,1,110.89903
1977,39,all,18-20 yrs,733,643413,19.003664,1,113.92371
1978,39,all,18-20 yrs,706,633762,19.011124,1,111.39828
1979,39,all,18-20 yrs,767,625798,19.000412,1,122.56351
1980,39,all,18-20 yrs,650,610712,19.005293,1,106.43314
1981,39,all,18-20 yrs,580,600759,19.016323,1,96.54454
1982,39,all,18-20 yrs,532,585578,19.01342,.87984622,90.85041
1983,39,all,18-20 yrs,510,567401,19.020847,.68086416,89.883522
1970,40,all,18-20 yrs,184,138265,18.98032,0,133.07779
1971,40,all,18-20 yrs,206,144759,18.977825,0,142.30548
1972,40,all,18-20 yrs,184,149462,18.975252,0,123.10822
1973,40,all,18-20 yrs,221,155178,18.987537,0,142.4171
1974,40,all,18-20 yrs,225,159571,18.999136,0,141.00307
1975,40,all,18-20 yrs,199,162971,18.993631,0,122.10761
1976,40,all,18-20 yrs,217,167640,19.000196,.084931508,129.44405
1977,40,all,18-20 yrs,251,169510,19.011108,1,148.07385
1978,40,all,18-20 yrs,241,170667,19.007423,1,141.21066
1979,40,all,18-20 yrs,249,174241,19.004631,1,142.90552
1980,40,all,18-20 yrs,267,177432,19.016378,1,150.48018
1981,40,all,18-20 yrs,252,177369,19.031273,1,142.07669
1982,40,all,18-20 yrs,302,178308,19.033745,1,169.36986
1983,40,all,18-20 yrs,223,174707,19.044777,.72328764,127.64228
1970,41,all,18-20 yrs,147,109616,18.950045,0,134.10451
1971,41,all,18-20 yrs,186,117825,18.94524,0,157.86124
1972,41,all,18-20 yrs,180,123862,18.968529,0,145.32301
1973,41,all,18-20 yrs,171,126211,18.997774,0,135.4874
1974,41,all,18-20 yrs,197,127011,19.005354,0,155.10468
1975,41,all,18-20 yrs,174,128077,18.989296,0,135.85577
1976,41,all,18-20 yrs,188,129657,18.995497,0,144.99796
1977,41,all,18-20 yrs,201,131842,19.010315,0,152.45522
1978,41,all,18-20 yrs,209,133067,19.003525,0,157.06374
1979,41,all,18-20 yrs,162,136425,18.989708,0,118.74657
1980,41,all,18-20 yrs,187,138497,19.004541,0,135.02098
1981,41,all,18-20 yrs,155,136778,19.016275,0,113.32232
1982,41,all,18-20 yrs,135,131297,19.02243,0,102.82032
1983,41,all,18-20 yrs,141,124219,19.0308,0,113.50921
1970,42,all,18-20 yrs,678,587880,18.948133,0,115.32966
1971,42,all,18-20 yrs,667,616309,18.966282,0,108.22493
1972,42,all,18-20 yrs,682,632209,18.98011,0,107.87572
1973,42,all,18-20 yrs,726,638858,18.983999,0,113.64027
1974,42,all,18-20 yrs,732,647831,18.989845,0,112.99243
1975,42,all,18-20 yrs,702,663306,18.980967,0,105.8335
1976,42,all,18-20 yrs,691,674158,18.98465,0,102.49823
1977,42,all,18-20 yrs,704,680289,19.002522,0,103.48543
1978,42,all,18-20 yrs,676,671428,19.010569,0,100.68094
1979,42,all,18-20 yrs,691,667852,19.003633,0,103.46603
1980,42,all,18-20 yrs,697,661201,19.009388,0,105.41424
1981,42,all,18-20 yrs,631,651001,19.024517,0,96.927658
1982,42,all,18-20 yrs,580,638780,19.014887,0,90.79808
1983,42,all,18-20 yrs,529,626230,19.017899,0,84.473755
1970,44,all,18-20 yrs,49,56025,19.041677,0,87.460953
1971,44,all,18-20 yrs,63,56136,19.039316,0,112.22745
1972,44,all,18-20 yrs,54,57433,19.020197,.83835614,94.022598
1973,44,all,18-20 yrs,57,59199,19.003311,1,96.285408
1974,44,all,18-20 yrs,48,55519,19.000811,1,86.456886
1975,44,all,18-20 yrs,48,56090,19,1,85.576752
1976,44,all,18-20 yrs,51,57791,18.998962,1,88.249039
1977,44,all,18-20 yrs,52,58968,19.014856,1,88.183418
1978,44,all,18-20 yrs,46,59017,19.020943,1,77.943642
1979,44,all,18-20 yrs,47,59632,19.009809,1,78.816742
1980,44,all,18-20 yrs,54,58568,19.023237,.8428297,92.200516
1981,44,all,18-20 yrs,30,57171,19.067604,.53240573,52.474155
1982,44,all,18-20 yrs,50,54808,19.042385,.35651729,91.227554
1983,44,all,18-20 yrs,35,53869,19.018564,.33735543,64.972435
1970,45,all,18-20 yrs,250,168116,18.990252,1,148.70685
1971,45,all,18-20 yrs,232,176266,19.022789,1,131.61926
1972,45,all,18-20 yrs,294,178111,19.006474,1,165.0656
1973,45,all,18-20 yrs,266,181692,18.996527,1,146.4016
1974,45,all,18-20 yrs,249,188690,19.002405,1,131.96248
1975,45,all,18-20 yrs,244,193929,18.998886,1,125.81924
1976,45,all,18-20 yrs,228,197044,19.004187,1,115.7102
1977,45,all,18-20 yrs,280,198267,19.015898,1,141.22371
1978,45,all,18-20 yrs,240,198619,19.009077,1,120.83436
1979,45,all,18-20 yrs,238,199538,19.00679,1,119.27553
1980,45,all,18-20 yrs,245,201485,19.014002,1,121.59714
1981,45,all,18-20 yrs,199,202875,19.03302,1,98.089958
1982,45,all,18-20 yrs,197,198633,19.030508,1,99.177879
1983,45,all,18-20 yrs,217,193757,19.03684,1,111.99596
1970,46,all,18-20 yrs,61,38374,18.941628,.63344973,158.96179
1971,46,all,18-20 yrs,63,40066,18.963634,.65122551,157.24055
1972,46,all,18-20 yrs,66,41367,18.976768,.82924885,159.54747
1973,46,all,18-20 yrs,67,41839,18.977032,1,160.13766
1974,46,all,18-20 yrs,61,42495,18.983105,1,143.5463
1975,46,all,18-20 yrs,72,42990,18.984997,1,167.4808
1976,46,all,18-20 yrs,59,43531,18.995062,1,135.5356
1977,46,all,18-20 yrs,61,43379,19.004772,1,140.62103
1978,46,all,18-20 yrs,52,43310,18.999422,1,120.06465
1979,46,all,18-20 yrs,55,43115,18.998423,1,127.56581
1980,46,all,18-20 yrs,56,43036,19.017149,1,130.12361
1981,46,all,18-20 yrs,44,41792,19.029192,1,105.28331
1982,46,all,18-20 yrs,43,40146,19.023613,1,107.10905
1983,46,all,18-20 yrs,36,38426,19.042784,1,93.686569
1970,47,all,18-20 yrs,349,220094,18.971285,0,158.56862
1971,47,all,18-20 yrs,364,223043,19.004089,.67123288,163.19724
1972,47,all,18-20 yrs,390,226853,18.991457,1,171.9175
1973,47,all,18-20 yrs,385,231267,18.976654,1,166.47424
1974,47,all,18-20 yrs,362,240762,18.992142,1,150.35596
1975,47,all,18-20 yrs,403,247701,18.990391,1,162.69615
1976,47,all,18-20 yrs,369,253120,18.996065,1,145.78065
1977,47,all,18-20 yrs,372,257999,19.003918,1,144.1866
1978,47,all,18-20 yrs,424,260801,18.996824,1,162.57607
1979,47,all,18-20 yrs,412,264021,18.997663,.80665362,156.04819
1980,47,all,18-20 yrs,371,265527,19.008146,.67577308,139.72214
1981,47,all,18-20 yrs,316,262104,19.027477,.68333179,120.56283
1982,47,all,18-20 yrs,326,256461,19.018705,.67690212,127.11485
1983,47,all,18-20 yrs,336,250535,19.018927,.68103856,134.11299
1970,48,all,18-20 yrs,993,627744,18.987576,0,158.1855
1971,48,all,18-20 yrs,998,666222,18.987349,0,149.79991
1972,48,all,18-20 yrs,964,695893,18.989508,0,138.52704
1973,48,all,18-20 yrs,1092,724506,19.000397,.41917807,150.72339
1974,48,all,18-20 yrs,1077,744516,19.005642,1,144.65773
1975,48,all,18-20 yrs,1137,768811,18.999222,1,147.8907
1976,48,all,18-20 yrs,1133,794105,19.004635,1,142.67635
1977,48,all,18-20 yrs,1163,809557,19.016964,1,143.65881
1978,48,all,18-20 yrs,1204,820410,19.014984,1,146.75589
1979,48,all,18-20 yrs,1282,839840,19.009924,1,152.64812
1980,48,all,18-20 yrs,1400,854834,19.018469,1,163.77449
1981,48,all,18-20 yrs,1366,856536,19.030355,.89436615,159.47958
1982,48,all,18-20 yrs,1334,859876,19.026495,.68255192,155.13864
1983,48,all,18-20 yrs,1115,854326,19.032955,.68700826,130.51224
1970,49,all,18-20 yrs,103,65106,18.936718,0,158.20355
1971,49,all,18-20 yrs,80,72923,18.95306,0,109.70476
1972,49,all,18-20 yrs,104,78669,18.978022,0,132.19946
1973,49,all,18-20 yrs,115,81715,18.996941,0,140.73303
1974,49,all,18-20 yrs,78,83238,18.998787,0,93.707199
1975,49,all,18-20 yrs,91,85270,18.981869,0,106.71983
1976,49,all,18-20 yrs,84,87241,18.985168,0,96.285004
1977,49,all,18-20 yrs,115,88750,18.998682,0,129.57747
1978,49,all,18-20 yrs,97,89057,18.994093,0,108.91901
1979,49,all,18-20 yrs,102,90698,18.976086,0,112.46114
1980,49,all,18-20 yrs,95,89151,18.997633,0,106.56078
1981,49,all,18-20 yrs,100,88040,19.046478,0,113.58473
1982,49,all,18-20 yrs,84,84528,19.048943,0,99.375359
1983,49,all,18-20 yrs,80,80160,19.032511,0,99.8004
1970,50,all,18-20 yrs,37,27034,18.945292,0,136.86469
1971,50,all,18-20 yrs,39,27113,18.934717,.16712329,143.84244
1972,50,all,18-20 yrs,36,28218,18.928911,1,127.57814
1973,50,all,18-20 yrs,48,29167,18.951281,1,164.56955
1974,50,all,18-20 yrs,35,29732,18.956881,1,117.71828
1975,50,all,18-20 yrs,47,30416,18.94516,1,154.52394
1976,50,all,18-20 yrs,32,31157,18.943512,1,102.70565
1977,50,all,18-20 yrs,35,31861,18.955118,1,109.85217
1978,50,all,18-20 yrs,42,32194,18.955334,1,130.45909
1979,50,all,18-20 yrs,47,33069,18.937403,1,142.12708
1980,50,all,18-20 yrs,39,32920,19.007624,1,118.46902
1981,50,all,18-20 yrs,28,31914,19.065113,1,87.735786
1982,50,all,18-20 yrs,39,30190,19.042364,1,129.18185
1983,50,all,18-20 yrs,39,29065,19.019094,1,134.18201
1970,51,all,18-20 yrs,346,269122,19.023071,0,128.56622
1971,51,all,18-20 yrs,355,280923,19.015997,0,126.36915
1972,51,all,18-20 yrs,324,289572,19.009556,0,111.88927
1973,51,all,18-20 yrs,382,301213,19.011395,0,126.82056
1974,51,all,18-20 yrs,371,308897,19.012852,.50410956,120.10476
1975,51,all,18-20 yrs,397,317825,19.009434,1,124.91151
1976,51,all,18-20 yrs,334,323826,19.014242,1,103.14181
1977,51,all,18-20 yrs,402,326903,19.026461,1,122.97226
1978,51,all,18-20 yrs,366,327276,19.032755,1,111.83221
1979,51,all,18-20 yrs,305,323703,19.030252,1,94.222176
1980,51,all,18-20 yrs,340,321561,19.023342,1,105.73421
1981,51,all,18-20 yrs,313,325816,19.026224,1,96.06649
1982,51,all,18-20 yrs,294,322585,19.025305,1,91.138771
1983,51,all,18-20 yrs,312,321625,19.042446,.84580243,97.007385
1970,53,all,18-20 yrs,264,192022,18.997599,0,137.48425
1971,53,all,18-20 yrs,258,197176,18.988411,0,130.84756
1972,53,all,18-20 yrs,250,195267,18.988028,0,128.02983
1973,53,all,18-20 yrs,264,199366,19.004112,0,132.41977
1974,53,all,18-20 yrs,267,204071,19.005768,0,130.83682
1975,53,all,18-20 yrs,276,210001,18.999014,0,131.42795
1976,53,all,18-20 yrs,261,214956,19.006498,0,121.4202
1977,53,all,18-20 yrs,281,218056,19.022829,0,128.86598
1978,53,all,18-20 yrs,295,221256,19.023823,0,133.32971
1979,53,all,18-20 yrs,301,226924,19.015009,0,132.64352
1980,53,all,18-20 yrs,289,233159,19.021093,0,123.94975
1981,53,all,18-20 yrs,268,232085,19.025526,0,115.47494
1982,53,all,18-20 yrs,252,225213,19.026077,0,111.89407
1983,53,all,18-20 yrs,225,216845,19.043962,0,103.76075
1970,54,all,18-20 yrs,164,95003,18.942001,1,172.62613
1971,54,all,18-20 yrs,148,96291,18.976871,1,153.70076
1972,54,all,18-20 yrs,134,97156,18.981865,1,137.92252
1973,54,all,18-20 yrs,127,96733,18.969131,1,131.28922
1974,54,all,18-20 yrs,135,97945,18.98247,1,137.83246
1975,54,all,18-20 yrs,138,100874,18.977348,1,136.80434
1976,54,all,18-20 yrs,158,104181,18.980141,1,151.65913
1977,54,all,18-20 yrs,159,106501,18.999605,1,149.29437
1978,54,all,18-20 yrs,152,105539,19.006813,1,144.02258
1979,54,all,18-20 yrs,137,104922,19.006062,1,130.57318
1980,54,all,18-20 yrs,175,105497,19.009214,1,165.8815
1981,54,all,18-20 yrs,128,103735,19.018894,1,123.39133
1982,54,all,18-20 yrs,114,101599,19.003347,1,112.20583
1983,54,all,18-20 yrs,121,99930,19.000961,.95808911,121.08476
1970,55,all,18-20 yrs,318,241189,18.942635,1,131.8468
1971,55,all,18-20 yrs,300,251094,18.976236,1,119.47717
1972,55,all,18-20 yrs,346,257687,18.98761,1,134.27142
1973,55,all,18-20 yrs,380,260425,18.982836,1,145.91533
1974,55,all,18-20 yrs,364,264991,18.991539,1,137.36316
1975,55,all,18-20 yrs,308,271317,18.985315,1,113.52035
1976,55,all,18-20 yrs,349,275660,18.98382,1,126.60524
1977,55,all,18-20 yrs,353,281035,18.995544,1,125.60713
1978,55,all,18-20 yrs,340,282414,18.998606,1,120.39063
1979,55,all,18-20 yrs,366,286956,18.991856,1,127.54568
1980,55,all,18-20 yrs,372,287202,19.006891,1,129.52556
1981,55,all,18-20 yrs,294,283203,19.026129,1,103.81246
1982,55,all,18-20 yrs,280,274185,19.020872,1,102.12083
1983,55,all,18-20 yrs,270,264489,19.025469,1,102.08364
1970,56,all,18-20 yrs,45,17317,18.935497,0,259.86026
1971,56,all,18-20 yrs,35,18971,18.943176,0,184.49213
1972,56,all,18-20 yrs,50,20507,18.968645,0,243.81918
1973,56,all,18-20 yrs,58,21361,18.993914,.4482218,271.52286
1974,56,all,18-20 yrs,69,22112,19.005878,.67004341,312.04776
1975,56,all,18-20 yrs,62,23219,18.999527,.66811663,267.02271
1976,56,all,18-20 yrs,72,24202,19.014709,.67920005,297.49606
1977,56,all,18-20 yrs,47,25156,19.026793,.68210369,186.83415
1978,56,all,18-20 yrs,61,26000,19.022846,.68146151,234.61539
1979,56,all,18-20 yrs,48,27195,19.026218,.68413311,176.50304
1980,56,all,18-20 yrs,67,27908,19.037981,.69084132,240.07452
1981,56,all,18-20 yrs,63,27070,19.042223,.68925011,232.72997
1982,56,all,18-20 yrs,45,26145,19.026123,.68185121,172.11703
1983,56,all,18-20 yrs,39,24626,19.027044,.6849671,158.3692
