"country" "points" "price" "province" "variety" "winery"
"Italy" 87 14 "Veneto" "Red Blend" "Sartori"
"France" 86 24 "Alsace" "Sparkling Blend" "Dopff & Irion"
"France" 86 12 "Alsace" "White Blend" "Willm"
"Italy" 96 55 "Tuscany" "White Blend" "Capezzana"
"Italy" 95 50 "Tuscany" "Red Blend" "Ca' Marcanda"
"France" 95 215 "Burgundy" "Chardonnay" "Domaine Leflaive"
"Italy" 94 126 "Tuscany" "Red Blend" "Fattoria Le Pupille"
"France" 94 260 "Burgundy" "Chardonnay" "Domaine Leflaive"
"France" 94 155 "Burgundy" "Chardonnay" "Domaine Leflaive"
"France" 94 225 "Burgundy" "Chardonnay" "Domaine Leflaive"
"Italy" 94 99 "Tuscany" "Red Blend" "Marchesi Antinori"
"Italy" 94 73 "Tuscany" "Red Blend" "Poggio Antico"
"France" 93 150 "Burgundy" "Chardonnay" "Domaine Leflaive"
"France" 93 145 "Burgundy" "Chardonnay" "Domaine Leflaive"
"France" 85 18 "Rhône Valley" "Syrah" "Château de la Tuilerie"
"Italy" 85 13 "Veneto" "Red Blend" "Tenuta Sant'Antonio"
"France" 85 33 "Alsace" "Sparkling Blend" "Dopff & Irion"
"France" 84 12 "Rhône Valley" "Red Blend" "Vignobles Boudinaud"
"France" 84 15 "Alsace" "White Blend" "Dopff & Irion"
"France" 84 22 "Alsace" "Rosé" "Dopff & Irion"
"Italy" 92 39 "Tuscany" "Red Blend" "Collazzi"
"Italy" 92 90 "Tuscany" "Red Blend" "Castello d'Albola"
"Italy" 92 52 "Tuscany" "Red Blend" "Poggio Antico"
"Italy" 91 130 "Tuscany" "Red Blend" "Agricola Querciabella"
"Italy" 91 30 "Tuscany" "White Blend" "Fattoria Le Pupille"
"Italy" 95 88 "Northeastern Italy" "White Blend" "Lis Neris"
"Italy" 94 39 "Sicily & Sardinia" "White Blend" "Firriato"
"Italy" 94 88 "Northeastern Italy" "White Blend" "Lis Neris"
"Italy" 90 45 "Tuscany" "Red Blend" "Bibi Graetz"
"Italy" 93 40 "Tuscany" "White Blend" "Capezzana"
"Italy" 93 55 "Tuscany" "White Blend" "Villa Calcinaia"
"Italy" 93 42 "Central Italy" "White Blend" "Barberani"
"Italy" 93 140 "Tuscany" "White Blend" "Fattoria di Grignano"
"Italy" 93 44 "Northeastern Italy" "White Blend" "Russiz Superiore"
"Italy" 90 45 "Tuscany" "Red Blend" "Castelvecchio"
"Italy" 90 17 "Tuscany" "Red Blend" "Agricola Querciabella"
"Italy" 92 63 "Sicily & Sardinia" "White Blend" "Feudi della Medusa"
"Italy" 89 35 "Tuscany" "Red Blend" "Marchesi Antinori"
"Italy" 92 30 "Sicily & Sardinia" "White Blend" "Feudo Arancio"
"Italy" 92 37 "Tuscany" "White Blend" "I Veroni"
"Italy" 91 29 "Sicily & Sardinia" "White Blend" "Feudo Arancio"
"France" 89 18 "Burgundy" "Chardonnay" "Jean-Marc Brocard"
"Italy" 88 17 "Tuscany" "Syrah" "Pieve Vecchia"
"Italy" 91 30 "Sicily & Sardinia" "White Blend" "Tasca d'Almerita"
"Italy" 88 20 "Tuscany" "Rosé" "Fattoria Le Pupille"
"Italy" 88 21 "Tuscany" "Syrah" "La Braccesca"
"Italy" 90 30 "Sicily & Sardinia" "White Blend" "Tasca d'Almerita"
"Italy" 87 17 "Tuscany" "Red Blend" "I Giusti e Zanza"
"Italy" 87 15 "Tuscany" "Rosé" "Terre di Talamo"
"Italy" 87 23 "Tuscany" "Red Blend" "Buccia Nera"
"Italy" 87 29 "Tuscany" "Rosé" "Fabrizio Dionisio"
"Italy" 89 48 "Northeastern Italy" "White Blend" "La Viarte"
"Italy" 87 15 "Tuscany" "Rosé" "Terre di Talamo"
"Italy" 87 20 "Tuscany" "White Blend" "Fattoria Le Pupille"
"Italy" 87 19 "Tuscany" "Red Blend" "Mocine"
"Italy" 86 30 "Tuscany" "Red Blend" "Varramista"
"Italy" 86 12 "Tuscany" "Red Blend" "Capezzana"
"France" 86 15 "Alsace" "White Blend" "Hugel"
"Italy" 86 13 "Tuscany" "Rosé" "Salcheto"
"Italy" 86 18 "Tuscany" "Rosé" "Collemassari"
"Italy" 87 35 "Italy Other" "White Blend" "Josef Weger"
"France" 85 17 "Burgundy" "Chardonnay" "Louis Jadot"
"Italy" 87 40 "Tuscany" "White Blend" "Vignamaggio"
"Italy" 85 18 "Tuscany" "Red Blend" "Pieve Vecchia"
"Italy" 85 11 "Tuscany" "Red Blend" "Buccia Nera"
"France" 84 15 "Burgundy" "Chardonnay" "Vignerons de Buxy"
"Italy" 86 32 "Tuscany" "Red Blend" "Morisfarms"
"Italy" 81 18 "Tuscany" "Rosé" "Il Valentiano"
"France" 96 130 "Burgundy" "Chardonnay" "Louis Jadot"
"France" 95 115 "Burgundy" "Chardonnay" "Domaine Christian Moreau Père et Fils"
"France" 94 90 "Burgundy" "Chardonnay" "Domaine Christian Moreau Père et Fils"
"France" 94 60 "Burgundy" "Chardonnay" "Louis Jadot"
"France" 94 75 "Burgundy" "Chardonnay" "Olivier Leflaive"
"France" 94 80 "Burgundy" "Chardonnay" "Louis Jadot"
"Italy" 94 40 "Sicily & Sardinia" "Red Blend" "Tenuta delle Terre Nere"
"Italy" 94 62 "Sicily & Sardinia" "Red Blend" "Pietro Caciorgna"
"Italy" 93 80 "Sicily & Sardinia" "Red Blend" "Donnafugata"
"France" 93 70 "Burgundy" "Chardonnay" "Louis Jadot"
"Italy" 93 40 "Sicily & Sardinia" "Red Blend" "Tenuta delle Terre Nere"
"France" 93 105 "Burgundy" "Chardonnay" "Olivier Leflaive"
"Italy" 93 44 "Sicily & Sardinia" "Red Blend" "Girolamo Russo"
"France" 93 63 "Burgundy" "Chardonnay" "Domaine Christian Moreau Père et Fils"
"France" 92 65 "Burgundy" "Chardonnay" "Domaine Vrignaud"
"Italy" 92 40 "Sicily & Sardinia" "Red Blend" "Donnafugata"
"Italy" 92 40 "Sicily & Sardinia" "Red Blend" "Tenuta delle Terre Nere"
"France" 92 50 "Burgundy" "Chardonnay" "Domaine Vrignaud"
"France" 92 75 "Burgundy" "Chardonnay" "Louis Jadot"
"Italy" 92 80 "Sicily & Sardinia" "Red Blend" "Palari"
"France" 92 60 "Burgundy" "Chardonnay" "Domaine Vrignaud"
"Italy" 92 60 "Sicily & Sardinia" "Red Blend" "Zisola"
"France" 92 49 "Burgundy" "Chardonnay" "Domaine Christian Moreau Père et Fils"
"France" 92 120 "Burgundy" "Chardonnay" "Garnier et Fils"
"Italy" 92 42 "Sicily & Sardinia" "Red Blend" "Cusumano"
"Italy" 83 12 "Veneto" "White Blend" "Pizzolato"
"Italy" 82 12 "Veneto" "Red Blend" "Pizzolato"
"France" 92 80 "Burgundy" "Chardonnay" "Olivier Leflaive"
"Italy" 91 40 "Sicily & Sardinia" "Red Blend" "Cusumano"
"France" 91 55 "Burgundy" "Chardonnay" "Domaine Emmanuel Giboulot"
"France" 91 48 "Burgundy" "Chardonnay" "Garnier et Fils"
"Italy" 91 60 "Sicily & Sardinia" "White Blend" "Tasca d'Almerita"
"Italy" 91 35 "Sicily & Sardinia" "Red Blend" "Feudo Disisa"
"Italy" 99 200 "Tuscany" "Red Blend" "Tenuta dell'Ornellaia"
"Italy" 98 225 "Tuscany" "Syrah" "Le Macchiole"
"Italy" 97 102 "Tuscany" "Red Blend" "Marchesi Antinori"
"Italy" 96 275 "Tuscany" "Red Blend" "Castello dei Rampolla"
"Italy" 96 100 "Tuscany" "Red Blend" "Tenuta Sette Ponti"
"Italy" 95 40 "Tuscany" "Red Blend" "Aia Vecchia"
"Italy" 95 120 "Tuscany" "Red Blend" "Mazzei"
"Italy" 91 38 "Sicily & Sardinia" "Syrah" "Baglio del Cristo di Campobello"
"Italy" 91 42 "Sicily & Sardinia" "Red Blend" "Planeta"
"Italy" 91 70 "Sicily & Sardinia" "Red Blend" "Tasca d'Almerita"
"Italy" 95 220 "Tuscany" "Red Blend" "Tenuta San Guido"
"Italy" 95 60 "Tuscany" "Red Blend" "Tenuta Argentiera"
"Italy" 94 120 "Tuscany" "Red Blend" "Grattamacco"
"Italy" 94 150 "Tuscany" "Red Blend" "Jacopo Biondi-Santi"
"Italy" 94 80 "Tuscany" "Red Blend" "Podere Sapaio"
"Italy" 94 70 "Tuscany" "Red Blend" "Poggio Antico"
"Italy" 94 58 "Tuscany" "Red Blend" "Cecchi"
"Italy" 94 80 "Tuscany" "Syrah" "Terre del Marchesato"
"Italy" 94 130 "Tuscany" "Red Blend" "Fattoria Le Pupille"
"Italy" 94 70 "Tuscany" "Red Blend" "Mazzei"
"Italy" 93 60 "Tuscany" "Red Blend" "Tenuta dell'Ornellaia"
"Italy" 93 80 "Tuscany" "Red Blend" "Tenuta Sette Ponti"
"France" 91 120 "Burgundy" "Chardonnay" "Garnier et Fils"
"Italy" 91 52 "Sicily & Sardinia" "Red Blend" "Valle dell'Acate"
"France" 91 40 "Burgundy" "Chardonnay" "Olivier Leflaive"
"Italy" 91 43 "Sicily & Sardinia" "Chardonnay" "Planeta"
"Italy" 91 30 "Sicily & Sardinia" "Red Blend" "COS"
"Italy" 91 32 "Sicily & Sardinia" "Red Blend" "Firriato"
"Italy" 91 67 "Sicily & Sardinia" "Red Blend" "Duca di Salaparuta"
"France" 91 100 "Burgundy" "Chardonnay" "Chartron et Trébuchet"
"Italy" 93 150 "Tuscany" "Red Blend" "Castello del Terriccio"
"Italy" 93 70 "Tuscany" "Red Blend" "Podere Sapaio"
"Italy" 93 45 "Tuscany" "Red Blend" "Poggio al Tesoro"
"Italy" 93 65 "Tuscany" "Syrah" "Terre del Marchesato"
"Italy" 90 30 "Sicily & Sardinia" "Red Blend" "Feudo Disisa"
"Italy" 90 47 "Sicily & Sardinia" "Red Blend" "Firriato"
"Italy" 93 85 "Tuscany" "Red Blend" "Grattamacco"
"Italy" 93 60 "Tuscany" "Red Blend" "Castello di Bolgheri"
"Italy" 93 74 "Tuscany" "Red Blend" "Tenuta di Biserno"
"Italy" 93 65 "Tuscany" "Red Blend" "Tenuta I Greppi"
"Italy" 93 90 "Tuscany" "Red Blend" "Tenuta Sette Ponti"
"Italy" 92 45 "Tuscany" "Red Blend" "Fossacolle"
"Italy" 92 85 "Tuscany" "Red Blend" "Grattamacco"
"Italy" 92 50 "Tuscany" "Red Blend" "Capezzana"
"Italy" 92 70 "Tuscany" "Red Blend" "Carpineto"
"Italy" 92 44 "Tuscany" "Red Blend" "Podere Sapaio"
"Italy" 90 60 "Sicily & Sardinia" "Chardonnay" "Tasca d'Almerita"
"Italy" 90 16 "Sicily & Sardinia" "Syrah" "Tenuta Rapitalà"
"Italy" 90 30 "Sicily & Sardinia" "Red Blend" "Masseria del Feudo Grottarossa"
"Italy" 90 40 "Sicily & Sardinia" "Syrah" "Planeta"
"France" 90 45 "Burgundy" "Chardonnay" "Garnier et Fils"
"Italy" 90 39 "Sicily & Sardinia" "White Blend" "Graci"
"Italy" 90 42 "Sicily & Sardinia" "Syrah" "Planeta"
"Italy" 90 43 "Sicily & Sardinia" "Red Blend" "Planeta"
"Italy" 90 30 "Sicily & Sardinia" "Syrah" "Tasca d'Almerita"
"Italy" 90 21 "Sicily & Sardinia" "Red Blend" "Abbazia Santa Anastasia"
"Italy" 90 30 "Sicily & Sardinia" "Red Blend" "COS"
"Italy" 90 32 "Sicily & Sardinia" "Red Blend" "Firriato"
"Italy" 92 25 "Tuscany" "Red Blend" "Poggio al Tesoro"
"Italy" 92 30 "Tuscany" "Red Blend" "Pratesi"
"Italy" 92 58 "Tuscany" "Red Blend" "Cecchi"
"Italy" 92 50 "Tuscany" "Red Blend" "Capezzana"
"Italy" 92 50 "Tuscany" "Red Blend" "Podere Sapaio"
"Italy" 92 70 "Tuscany" "Red Blend" "Castello del Terriccio"
"Italy" 92 52 "Tuscany" "Red Blend" "I Balzini"
"Italy" 92 40 "Tuscany" "Red Blend" "Canneto"
"Italy" 92 33 "Tuscany" "Red Blend" "Fuligni"
"Italy" 92 35 "Tuscany" "Red Blend" "Castello di Gabbiano"
"Italy" 92 41 "Tuscany" "Red Blend" "Podere Guado al Melo"
"Italy" 90 45 "Sicily & Sardinia" "Red Blend" "Tenuta Rapitalà"
"Italy" 90 32 "Sicily & Sardinia" "Red Blend" "Valle dell'Acate"
"Italy" 90 22 "Sicily & Sardinia" "Red Blend" "D'Alessandro"
"France" 90 60 "Burgundy" "Chardonnay" "Joseph Drouhin"
"Italy" 90 40 "Sicily & Sardinia" "Red Blend" "Brugnano"
"France" 90 50 "Burgundy" "Chardonnay" "Domaine Vrignaud"
"Italy" 90 30 "Sicily & Sardinia" "Red Blend" "Feudo Arancio"
"Italy" 90 24 "Sicily & Sardinia" "Red Blend" "Firriato"
"Italy" 91 65 "Tuscany" "Red Blend" "Villa Vignamaggio"
"Italy" 91 45 "Tuscany" "Red Blend" "Tenuta San Guido"
"Italy" 91 25 "Tuscany" "Red Blend" "Pratesi"
"France" 91 23 "Southwest France" "Red Blend" "Domaine Rotier"
"Italy" 91 39 "Tuscany" "Red Blend" "Fattoria di Casalbosco"
"Italy" 91 16 "Tuscany" "Red Blend" "Aia Vecchia"
"Italy" 91 35 "Tuscany" "Red Blend" "Collemassari"
"Italy" 91 32 "Tuscany" "Red Blend" "Marchesi Antinori"
"Italy" 91 45 "Tuscany" "Red Blend" "Enrico Santini"
"Italy" 91 120 "Tuscany" "Syrah" "Duemani"
"Italy" 91 40 "Tuscany" "Red Blend" "Tassi"
"Italy" 91 40 "Tuscany" "Red Blend" "Tenuta San Giorgio"
"France" 89 50 "Burgundy" "Chardonnay" "Louis Jadot"
"Italy" 91 40 "Tuscany" "Red Blend" "Castello del Terriccio"
"France" 90 18 "Southwest France" "Red Blend" "Domaine Rotier"
"Italy" 90 35 "Tuscany" "Red Blend" "Capezzana"
"Italy" 90 30 "Tuscany" "Red Blend" "Le Macchiole"
"Italy" 90 25 "Tuscany" "Red Blend" "Tenuta Argentiera"
"France" 89 29 "Burgundy" "Chardonnay" "Joseph Drouhin"
"Italy" 90 45 "Tuscany" "Red Blend" "Castello di Poppiano"
"Italy" 90 20 "Tuscany" "Red Blend" "Il Poggione"
"Italy" 89 32 "Sicily & Sardinia" "Chardonnay" "Baglio del Cristo di Campobello"
"Italy" 89 16 "Sicily & Sardinia" "Red Blend" "Feudo Arancio"
"Italy" 89 40 "Sicily & Sardinia" "Red Blend" "Firriato"
"Italy" 89 40 "Sicily & Sardinia" "Red Blend" "Firriato"
"France" 89 50 "Burgundy" "Chardonnay" "Joseph Drouhin"
"France" 89 40 "Burgundy" "Chardonnay" "Chartron et Trébuchet"
"Italy" 90 80 "Tuscany" "Red Blend" "Fattoria di Grignano"
"Italy" 90 36 "Tuscany" "Red Blend" "I Balzini"
"Italy" 90 49 "Tuscany" "Red Blend" "Massi di Mandorlaia"
"Italy" 90 26 "Tuscany" "Red Blend" "Podere Guado al Melo"
"France" 89 38 "Burgundy" "Chardonnay" "Domaine Vrignaud"
"Italy" 89 35 "Sicily & Sardinia" "White Blend" "Tenuta Rapitalà"
"Italy" 89 18 "Sicily & Sardinia" "Red Blend" "Benanti"
"Italy" 89 30 "Sicily & Sardinia" "Red Blend" "COS"
"Italy" 90 50 "Tuscany" "Red Blend" "Tenuta Villa Trasqua"
"Italy" 90 14 "Tuscany" "Red Blend" "La Colombina"
"Italy" 90 38 "Tuscany" "Red Blend" "Grattamacco"
"Italy" 89 33 "Sicily & Sardinia" "Red Blend" "Planeta"
"Italy" 88 28 "Sicily & Sardinia" "Red Blend" "D'Alessandro"
"France" 88 25 "Burgundy" "Chardonnay" "Domaine Marc Jambon"
"Italy" 88 21 "Sicily & Sardinia" "Chardonnay" "Feudi del Pisciotto"
"Italy" 88 29 "Sicily & Sardinia" "White Blend" "Firriato"
"France" 89 29 "Southwest France" "Red Blend" "Domaine Sarrabelle"
"France" 89 12 "Southwest France" "White Blend" "Domaine Sarrabelle"
"Italy" 89 33 "Tuscany" "Red Blend" "Castello del Trebbio"
"Italy" 88 18 "Sicily & Sardinia" "White Blend" "MandraRossa"
"Italy" 88 32 "Sicily & Sardinia" "Red Blend" "Scilio"
"Italy" 88 20 "Sicily & Sardinia" "White Blend" "Vito Curatolo Arini"
"Italy" 88 17 "Sicily & Sardinia" "Red Blend" "Cusumano"
"Italy" 89 29 "Tuscany" "Red Blend" "Tenuta I Greppi"
"Italy" 89 20 "Tuscany" "Red Blend" "Mazzei"
"Italy" 88 30 "Sicily & Sardinia" "White Blend" "Tasca d'Almerita"
"Italy" 88 32 "Sicily & Sardinia" "White Blend" "Valle dell'Acate"
"Italy" 88 25 "Sicily & Sardinia" "Red Blend" "Baglio del Cristo di Campobello"
"France" 88 35 "Burgundy" "Chardonnay" "Chartron et Trébuchet"
"Italy" 88 16 "Sicily & Sardinia" "Red Blend" "Cusumano"
"Italy" 88 60 "Sicily & Sardinia" "Chardonnay" "Tasca d'Almerita"
"Italy" 88 30 "Sicily & Sardinia" "Red Blend" "Tasca d'Almerita"
"Italy" 88 14 "Tuscany" "Red Blend" "Tenuta di Trecciano"
"Italy" 88 22 "Tuscany" "Red Blend" "Poggio Verrano"
"Italy" 88 40 "Tuscany" "Red Blend" "Duemani"
"Italy" 88 52 "Sicily & Sardinia" "Red Blend" "Palari"
"Italy" 88 35 "Sicily & Sardinia" "Red Blend" "Calatrasi"
"Italy" 88 42 "Sicily & Sardinia" "Red Blend" "Cantine Barbera"
"France" 88 75 "Burgundy" "Chardonnay" "Domaine Emmanuel Giboulot"
"Italy" 88 29 "Sicily & Sardinia" "Chardonnay" "Cusumano"
"Italy" 88 16 "Sicily & Sardinia" "White Blend" "Feudo Arancio"
"Italy" 88 30 "Sicily & Sardinia" "Syrah" "Alessandro di Camporeale"
"Italy" 88 24 "Sicily & Sardinia" "Red Blend" "Valle dell'Acate"
"Italy" 88 30 "Sicily & Sardinia" "White Blend" "Tasca d'Almerita"
"Italy" 88 18 "Sicily & Sardinia" "White Blend" "Scilio"
"Italy" 88 19 "Sicily & Sardinia" "Red Blend" "Baglio di Pianetto"
"Italy" 88 20 "Tuscany" "Red Blend" "Tenuta San Guido"
"Italy" 88 50 "Tuscany" "Red Blend" "Antonino Tringali-Casanuova"
"Italy" 88 33 "Tuscany" "Red Blend" "Campo al Mare"
"Italy" 88 25 "Tuscany" "Red Blend" "Bocelli"
"Italy" 88 31 "Tuscany" "Red Blend" "Leopoldo I di Toscana"
"Italy" 88 12 "Tuscany" "Red Blend" "Villa Pillo"
"Italy" 88 32 "Tuscany" "Red Blend" "Podere Guado al Melo"
"France" 88 25 "Southwest France" "Red Blend" "Producteurs Plaimont"
"Italy" 88 20 "Sicily & Sardinia" "Syrah" "D'Alessandro"
"Italy" 88 20 "Sicily & Sardinia" "White Blend" "Cantine Florio"
"Italy" 88 14 "Tuscany" "Red Blend" "Villa Pillo"
"Italy" 88 18 "Tuscany" "Red Blend" "Tenuta Argentiera"
"Italy" 88 18 "Tuscany" "Red Blend" "Tenuta di Trecciano"
"Italy" 87 20 "Sicily & Sardinia" "White Blend" "Argiolas"
"Italy" 87 10 "Sicily & Sardinia" "Syrah" "Feudo Arancio"
"Italy" 87 13 "Sicily & Sardinia" "White Blend" "Florio"
"France" 87 25 "Burgundy" "Chardonnay" "Joseph Drouhin"
"Italy" 88 25 "Tuscany" "Red Blend" "Capezzana"
"Italy" 87 18 "Sicily & Sardinia" "White Blend" "Tasca d'Almerita"
"Italy" 87 27 "Sicily & Sardinia" "Rosé" "Tenute Soletta"
"Italy" 87 27 "Sicily & Sardinia" "Red Blend" "Maurigi"
"Italy" 87 15 "Sicily & Sardinia" "Red Blend" "Planeta"
"Italy" 87 29 "Sicily & Sardinia" "Red Blend" "Duca di Salaparuta"
"Italy" 87 40 "Sicily & Sardinia" "White Blend" "Cantina Santadi"
"Italy" 87 17 "Sicily & Sardinia" "White Blend" "Cusumano"
"Italy" 87 14 "Tuscany" "White Blend" "Tenuta di Burchino"
"Italy" 87 14 "Tuscany" "Syrah" "Tenuta di Trecciano"
"Italy" 87 25 "Tuscany" "Red Blend" "Mocali"
"France" 87 9 "Languedoc-Roussillon" "White Blend" "Domaines Paul Mas"
"Italy" 87 29 "Tuscany" "Red Blend" "Antonino Tringali-Casanuova"
"Italy" 87 16 "Sicily & Sardinia" "Red Blend" "Maggiovini"
"Italy" 87 19 "Sicily & Sardinia" "Red Blend" "MandraRossa"
"Italy" 87 15 "Sicily & Sardinia" "Red Blend" "Planeta"
"Italy" 87 15 "Sicily & Sardinia" "White Blend" "Planeta"
"Italy" 87 19 "Sicily & Sardinia" "Red Blend" "Nicosia"
"Italy" 87 52 "Sicily & Sardinia" "Red Blend" "Palari"
"France" 87 33 "Burgundy" "Chardonnay" "Domaine Guillemot-Michel"
"Italy" 87 16 "Tuscany" "Syrah" "Villa Pillo"
"Italy" 87 15 "Tuscany" "Red Blend" "Capezzana"
"France" 87 19 "Burgundy" "Chardonnay" "Olivier Leflaive"
"Italy" 87 14 "Sicily & Sardinia" "Syrah" "Valle dell'Acate"
"Italy" 87 24 "Tuscany" "Red Blend" "Leopoldo I di Toscana"
"Italy" 87 23 "Sicily & Sardinia" "Syrah" "Masseria del Feudo Grottarossa"
"Italy" 87 19 "Sicily & Sardinia" "White Blend" "Nicosia"
"Italy" 87 17 "Sicily & Sardinia" "Syrah" "Feudo Principi di Butera"
"Italy" 87 18 "Tuscany" "Red Blend" "Collemassari"
"Italy" 87 17 "Sicily & Sardinia" "Red Blend" "Baglio di Pianetto"
"France" 87 18 "Burgundy" "Chardonnay" "Henri Perrusset"
"Italy" 87 16 "Sicily & Sardinia" "Syrah" "Valle dell'Acate"
"Italy" 87 16 "Sicily & Sardinia" "Red Blend" "Tenuta Rapitalà"
"Italy" 87 23 "Sicily & Sardinia" "White Blend" "Baglio del Cristo di Campobello"
"Italy" 87 10 "Sicily & Sardinia" "Syrah" "MandraRossa"
"Italy" 87 15 "Sicily & Sardinia" "Red Blend" "Donnafugata"
"France" 87 29 "Burgundy" "Chardonnay" "Garnier et Fils"
"Italy" 87 13 "Sicily & Sardinia" "Red Blend" "Feudo Principi di Butera"
"Italy" 86 12 "Tuscany" "Red Blend" "Fattoria Scopone"
"Italy" 86 15 "Tuscany" "White Blend" "Badia a Coltibuono"
"Italy" 86 11 "Tuscany" "White Blend" "Banfi"
"Italy" 87 12 "Sicily & Sardinia" "White Blend" "Tenuta Rapitalà"
"Italy" 87 19 "Sicily & Sardinia" "Red Blend" "Nicosia"
"Italy" 87 24 "Sicily & Sardinia" "Red Blend" "Planeta"
"Italy" 87 18 "Sicily & Sardinia" "Red Blend" "Scilio"
"Italy" 87 18 "Sicily & Sardinia" "Rosé" "Scilio"
"Italy" 87 29 "Sicily & Sardinia" "Chardonnay" "Maurigi"
"Italy" 86 13 "Tuscany" "Red Blend" "Ciacci Piccolomini d'Aragona"
"Italy" 86 13 "Sicily & Sardinia" "Red Blend" "Duca di Salaparuta"
"Italy" 86 10 "Sicily & Sardinia" "Syrah" "Cusumano"
"Italy" 86 17 "Sicily & Sardinia" "White Blend" "Baglio del Cristo di Campobello"
"Italy" 86 16 "Sicily & Sardinia" "Red Blend" "Maggiovini"
"Italy" 86 19 "Sicily & Sardinia" "Red Blend" "Mineo Family Vineyards"
"Italy" 86 15 "Sicily & Sardinia" "White Blend" "Maurigi"
"Italy" 86 15 "Sicily & Sardinia" "Red Blend" "Maurigi"
"Italy" 86 20 "Sicily & Sardinia" "White Blend" "Brugnano"
"France" 86 14 "Burgundy" "Chardonnay" "Cave de Lugny"
"Italy" 86 12 "Sicily & Sardinia" "Red Blend" "Colosi"
"France" 86 10 "Languedoc-Roussillon" "White Blend" "Château Cabezac"
"Italy" 86 14 "Tuscany" "Red Blend" "Scopetani"
"Italy" 86 15 "Tuscany" "Red Blend" "Teruzzi & Puthod"
"Italy" 86 20 "Tuscany" "Red Blend" "I Veroni"
"Italy" 86 18 "Tuscany" "Red Blend" "Bocelli"
"Italy" 86 15 "Tuscany" "Red Blend" "Tommasi"
"Italy" 86 22 "Sicily & Sardinia" "Red Blend" "Maurigi"
"Italy" 86 13 "Sicily & Sardinia" "Rosé" "Tasca d'Almerita"
"Italy" 86 37 "Sicily & Sardinia" "Red Blend" "Scilio"
"Italy" 86 8 "Sicily & Sardinia" "Red Blend" "Calatrasi"
"Italy" 86 16 "Tuscany" "Red Blend" "Piandibugnano"
"Italy" 86 8 "Sicily & Sardinia" "Red Blend" "Fondo Antico"
"France" 86 29 "Burgundy" "Chardonnay" "Domaine Vrignaud"
"Italy" 86 17 "Sicily & Sardinia" "White Blend" "Masseria del Feudo Grottarossa"
"Italy" 86 16 "Sicily & Sardinia" "Rosé" "Planeta"
"France" 85 14 "Southwest France" "Red Blend" "Château Bouissel"
"Italy" 85 16 "Tuscany" "Red Blend" "Leopoldo I di Toscana"
"France" 86 14 "Burgundy" "Chardonnay" "Louis Jadot"
"Italy" 86 22 "Sicily & Sardinia" "Red Blend" "Brugnano"
"Italy" 86 13 "Sicily & Sardinia" "White Blend" "Duca di Salaparuta"
"Italy" 86 17 "Sicily & Sardinia" "Red Blend" "Baglio del Cristo di Campobello"
"Italy" 86 11 "Sicily & Sardinia" "Syrah" "Tasca d'Almerita"
"Italy" 85 10 "Tuscany" "Red Blend" "Bellini"
"Italy" 85 10 "Tuscany" "Red Blend" "Badia a Coltibuono"
"France" 85 10 "Languedoc-Roussillon" "White Blend" "Domaines Paul Mas"
"Italy" 86 32 "Sicily & Sardinia" "White Blend" "Firriato"
"Italy" 86 13 "Sicily & Sardinia" "White Blend" "Duca di Salaparuta"
"Italy" 86 13 "Sicily & Sardinia" "Rosé" "Cantina Santadi"
"Italy" 84 10 "Tuscany" "Red Blend" "I Veroni"
"Italy" 86 34 "Sicily & Sardinia" "White Blend" "Tenute Soletta"
"Italy" 86 12 "Sicily & Sardinia" "Syrah" "Viticultori Associati Canicatti"
"Italy" 85 22 "Sicily & Sardinia" "White Blend" "Firriato"
"France" 84 17 "Southwest France" "Rosé" "Clos d'Yvigne"
"France" 84 11 "France Other" "Red Blend" "Domaine des Sablonnettes"
"France" 85 25 "Burgundy" "Chardonnay" "Domaine Marc Jambon"
"Italy" 85 20 "Sicily & Sardinia" "Red Blend" "Duca di Salaparuta"
"Italy" 85 8 "Sicily & Sardinia" "White Blend" "Fondo Antico"
"Italy" 84 11 "Tuscany" "Red Blend" "I Veroni"
"France" 83 10 "France Other" "Chardonnay" "Domaine de Virginie"
"Italy" 85 12 "Sicily & Sardinia" "White Blend" "Colosi"
"Italy" 85 10 "Sicily & Sardinia" "White Blend" "Corvo"
"Italy" 85 10 "Sicily & Sardinia" "White Blend" "Tasca d'Almerita"
"France" 96 180 "Champagne" "Chardonnay" "Taittinger"
"Italy" 85 10 "Sicily & Sardinia" "Red Blend" "Corvo"
"Italy" 85 16 "Sicily & Sardinia" "White Blend" "Cottanera"
"Italy" 84 10 "Sicily & Sardinia" "White Blend" "Fondo Antico"
"France" 95 150 "Champagne" "Chardonnay" "Ruinart"
"France" 95 69 "Champagne" "Chardonnay" "Louis Roederer"
"Italy" 84 8 "Sicily & Sardinia" "White Blend" "Calatrasi"
"Italy" 84 10 "Sicily & Sardinia" "White Blend" "Corvo"
"Italy" 84 14 "Sicily & Sardinia" "Red Blend" "Corvo"
"Italy" 84 28 "Sicily & Sardinia" "Chardonnay" "Masseria del Feudo Grottarossa"
"Italy" 83 16 "Sicily & Sardinia" "Red Blend" "Azienda Agricola Milazzo"
"Italy" 83 24 "Sicily & Sardinia" "Syrah" "Di Giovanna"
"Italy" 82 16 "Sicily & Sardinia" "Red Blend" "Di Giovanna"
"France" 93 80 "Champagne" "Chardonnay" "Philipponnat"
