;Day;Publisher;impressions;clicks;revenue;viewed_impressions;ctr;price_cpm;view_rate;number_ads;quality;volume;genre
332;23.06.2016;11755;4163;0;6,16;2092;0,000000;1,48;0,503;8;premium;Small;Special_interest
336;24.06.2016;11755;4449;1;1,32;2217;0,000225;0,30;0,498;8;premium;Small;Special_interest
340;25.06.2016;11755;2755;0;4,16;1316;0,000000;1,51;0,478;8;premium;Small;Special_interest
344;26.06.2016;11755;3032;0;10,11;1499;0,000000;3,33;0,494;8;premium;Small;Special_interest
348;27.06.2016;11755;5676;1;6,58;2909;0,000176;1,16;0,513;8;premium;Small;Special_interest
352;28.06.2016;11755;3403;0;4,57;1712;0,000000;1,34;0,503;8;premium;Small;Special_interest
356;29.06.2016;11755;2706;0;4,21;1264;0,000000;1,55;0,467;8;premium;Small;Special_interest
360;30.06.2016;11755;4891;0;5,86;2448;0,000000;1,20;0,501;8;premium;Small;Special_interest
246;01.07.2016;11755;7081;0;11,61;3763;0,000000;1,64;0,531;8;premium;Small;Special_interest
250;02.07.2016;11755;2162;0;7,33;1059;0,000000;3,39;0,49;8;premium;Small;Special_interest
254;03.07.2016;11755;3881;0;7,41;1965;0,000000;1,91;0,506;8;premium;Small;Special_interest
258;04.07.2016;11755;6998;0;18,20;3587;0,000000;2,60;0,513;8;premium;Small;Special_interest
262;05.07.2016;11755;6800;0;14,14;3557;0,000000;2,08;0,523;8;premium;Small;Special_interest
266;06.07.2016;11755;4908;0;12,13;2483;0,000000;2,47;0,506;8;premium;Small;Special_interest
270;07.07.2016;11755;3439;0;7,47;1691;0,000000;2,17;0,492;8;premium;Small;Special_interest
274;08.07.2016;11755;3848;0;5,74;1874;0,000000;1,49;0,487;8;premium;Small;Special_interest
278;09.07.2016;11755;1385;0;0,19;693;0,000000;0,14;0,5;8;premium;Small;Special_interest
282;10.07.2016;11755;3602;0;6,10;1828;0,000000;1,69;0,507;8;premium;Small;Special_interest
289;12.07.2016;11755;1009;0;1,89;514;0,000000;1,87;0,509;8;premium;Small;Special_interest
293;13.07.2016;11755;2783;0;6,50;1426;0,000000;2,34;0,512;8;premium;Small;Special_interest
297;14.07.2016;11755;5211;0;15,40;2638;0,000000;2,96;0,506;8;premium;Small;Special_interest
301;15.07.2016;11755;4992;0;11,44;2456;0,000000;2,29;0,492;8;premium;Small;Special_interest
305;16.07.2016;11755;2741;0;3,96;1370;0,000000;1,45;0,5;8;premium;Small;Special_interest
309;17.07.2016;11755;3679;0;8,19;1773;0,000000;2,23;0,482;8;premium;Small;Special_interest
313;18.07.2016;11755;2363;0;7,53;1129;0,000000;3,19;0,478;8;premium;Small;Special_interest
317;19.07.2016;11755;2160;0;5,87;1025;0,000000;2,72;0,475;8;premium;Small;Special_interest
321;20.07.2016;11755;1319;0;2,75;675;0,000000;2,08;0,512;8;premium;Small;Special_interest
325;21.07.2016;11755;2785;0;4,56;1435;0,000000;1,64;0,515;8;premium;Small;Special_interest
329;22.07.2016;11755;1878;0;4,99;916;0,000000;2,66;0,488;8;premium;Small;Special_interest
333;23.07.2016;11755;1123;0;2,16;565;0,000000;1,92;0,503;8;premium;Small;Special_interest
337;24.07.2016;11755;3492;0;4,43;1680;0,000000;1,27;0,481;8;premium;Small;Special_interest
341;25.07.2016;11755;2329;0;4,29;1191;0,000000;1,84;0,511;8;premium;Small;Special_interest
345;26.07.2016;11755;4358;1;9,75;2271;0,000229;2,24;0,521;8;premium;Small;Special_interest
349;27.07.2016;11755;1331;0;3,06;673;0,000000;2,30;0,506;8;premium;Small;Special_interest
353;28.07.2016;11755;3129;0;9,31;1659;0,000000;2,97;0,53;8;premium;Small;Special_interest
357;29.07.2016;11755;1361;0;0,80;683;0,000000;0,59;0,502;8;premium;Small;Special_interest
361;30.07.2016;11755;1923;0;3,30;913;0,000000;1,72;0,475;8;premium;Small;Special_interest
364;31.07.2016;11755;4239;0;8,90;2110;0,000000;2,10;0,498;8;premium;Small;Special_interest
247;01.08.2016;11755;6572;0;7,40;3440;0,000000;1,13;0,523;8;premium;Small;Special_interest
251;02.08.2016;11755;7158;0;12,15;3739;0,000000;1,70;0,522;8;premium;Small;Special_interest
255;03.08.2016;11755;6427;1;9,60;3401;0,000156;1,49;0,529;8;premium;Small;Special_interest
259;04.08.2016;11755;6074;0;3,98;3069;0,000000;0,66;0,505;8;premium;Small;Special_interest
263;05.08.2016;11755;6397;0;13,72;3252;0,000000;2,14;0,508;8;premium;Small;Special_interest
267;06.08.2016;11755;4817;1;11,13;2475;0,000208;2,31;0,514;8;premium;Small;Special_interest
271;07.08.2016;11755;4551;0;8,39;2239;0,000000;1,84;0,492;8;premium;Small;Special_interest
275;08.08.2016;11755;5316;0;13,19;2736;0,000000;2,48;0,515;8;premium;Small;Special_interest
279;09.08.2016;11755;5441;0;11,59;2720;0,000000;2,13;0,5;8;premium;Small;Special_interest
283;10.08.2016;11755;6121;0;23,27;3100;0,000000;3,80;0,506;8;premium;Small;Special_interest
286;11.08.2016;11755;6191;0;17,60;3205;0,000000;2,84;0,518;8;premium;Small;Special_interest
290;12.08.2016;11755;6332;1;11,55;3220;0,000158;1,82;0,509;8;premium;Small;Special_interest
294;13.08.2016;11755;4529;0;5,51;2211;0,000000;1,22;0,488;8;premium;Small;Special_interest
298;14.08.2016;11755;5569;0;6,04;2727;0,000000;1,08;0,49;8;premium;Small;Special_interest
302;15.08.2016;11755;6371;0;8,57;3176;0,000000;1,35;0,499;8;premium;Small;Special_interest
306;16.08.2016;11755;6150;0;10,89;3157;0,000000;1,77;0,513;8;premium;Small;Special_interest
310;17.08.2016;11755;5857;1;12,11;3013;0,000171;2,07;0,514;8;premium;Small;Special_interest
314;18.08.2016;11755;3537;1;9,57;1814;0,000283;2,71;0,513;8;premium;Small;Special_interest
318;19.08.2016;11755;2667;1;0,59;1327;0,000375;0,22;0,498;8;premium;Small;Special_interest
322;20.08.2016;11755;3342;0;7,98;1639;0,000000;2,39;0,49;8;premium;Small;Special_interest
326;21.08.2016;11755;4629;0;8,05;2268;0,000000;1,74;0,49;8;premium;Small;Special_interest
330;22.08.2016;11755;5226;0;12,27;2607;0,000000;2,35;0,499;8;premium;Small;Special_interest
334;23.08.2016;11755;4494;0;8,29;2312;0,000000;1,84;0,514;8;premium;Small;Special_interest
338;24.08.2016;11755;2491;0;6,14;1326;0,000000;2,47;0,532;8;premium;Small;Special_interest
342;25.08.2016;11755;4251;4;14,23;2158;0,000941;3,35;0,508;8;premium;Small;Special_interest
346;26.08.2016;11755;2034;1;5,67;980;0,000492;2,79;0,482;8;premium;Small;Special_interest
350;27.08.2016;11755;2354;0;5,45;1109;0,000000;2,32;0,471;8;premium;Small;Special_interest
354;28.08.2016;11755;3419;2;3,41;1702;0,000585;1,00;0,498;8;premium;Small;Special_interest
358;29.08.2016;11755;6441;0;23,41;3320;0,000000;3,64;0,515;8;premium;Small;Special_interest
362;30.08.2016;11755;2708;2;3,80;1451;0,000739;1,40;0,536;8;premium;Small;Special_interest
365;31.08.2016;11755;1493;0;1,60;742;0,000000;1,07;0,497;8;premium;Small;Special_interest
248;01.09.2016;11755;1445;0;2,63;673;0,000000;1,82;0,466;8;premium;Small;Special_interest
252;02.09.2016;11755;198;0;0,52;90;0,000000;2,62;0,455;8;premium;Small;Special_interest
256;03.09.2016;11755;435;0;0,36;192;0,000000;0,82;0,441;8;premium;Small;Special_interest
260;04.09.2016;11755;1739;0;3,02;805;0,000000;1,74;0,463;8;premium;Small;Special_interest
264;05.09.2016;11755;1515;0;3,99;699;0,000000;2,64;0,461;8;premium;Small;Special_interest
268;06.09.2016;11755;2665;0;8,28;1305;0,000000;3,11;0,49;8;premium;Small;Special_interest
272;07.09.2016;11755;2630;3;5,28;1364;0,001141;2,01;0,519;8;premium;Small;Special_interest
276;08.09.2016;11755;2373;1;2,45;1222;0,000421;1,03;0,515;8;premium;Small;Special_interest
280;09.09.2016;11755;570;2;1,11;289;0,003509;1,96;0,507;8;premium;Small;Special_interest
284;10.09.2016;11755;2784;7;5,27;1405;0,002514;1,89;0,505;8;premium;Small;Special_interest
287;11.09.2016;11755;3603;2;9,09;1790;0,000555;2,52;0,497;8;premium;Small;Special_interest
291;12.09.2016;11755;6235;0;6,13;3084;0,000000;0,98;0,495;8;premium;Small;Special_interest
295;13.09.2016;11755;1106;1;2,06;512;0,000904;1,86;0,463;8;premium;Small;Special_interest
299;14.09.2016;11755;450;0;1,17;226;0,000000;2,60;0,502;8;premium;Small;Special_interest
303;15.09.2016;11755;2895;1;5,34;1470;0,000345;1,84;0,508;8;premium;Small;Special_interest
307;16.09.2016;11755;1260;1;3,75;638;0,000794;2,98;0,506;8;premium;Small;Special_interest
311;17.09.2016;11755;584;0;0,57;264;0,000000;0,98;0,452;8;premium;Small;Special_interest
315;18.09.2016;11755;4993;0;14,22;2472;0,000000;2,85;0,495;8;premium;Small;Special_interest
319;19.09.2016;11755;5300;1;5,62;2609;0,000189;1,06;0,492;8;premium;Small;Special_interest
323;20.09.2016;11755;2900;0;7,37;1449;0,000000;2,54;0,5;8;premium;Small;Special_interest
327;21.09.2016;11755;2439;0;3,85;1237;0,000000;1,58;0,507;8;premium;Small;Special_interest
331;22.09.2016;11755;387;0;0,65;182;0,000000;1,67;0,47;8;premium;Small;Special_interest
335;23.09.2016;11755;120;0;0,35;53;0,000000;2,91;0,442;8;premium;Small;Special_interest
339;24.09.2016;11755;127;0;0,32;43;0,000000;2,50;0,339;8;premium;Small;Special_interest
343;25.09.2016;11755;132;0;0,16;46;0,000000;1,18;0,348;8;premium;Small;Special_interest
347;26.09.2016;11755;211;0;0,34;86;0,000000;1,61;0,408;8;premium;Small;Special_interest
351;27.09.2016;11755;257;0;0,43;110;0,000000;1,68;0,428;8;premium;Small;Special_interest
355;28.09.2016;11755;246;0;0,76;106;0,000000;3,07;0,431;8;premium;Small;Special_interest
359;29.09.2016;11755;115;0;0,26;47;0,000000;2,28;0,409;8;premium;Small;Special_interest
363;30.09.2016;11755;143;0;0,32;54;0,000000;2,24;0,378;8;premium;Small;Special_interest
366;01.06.2016;11855;187061;10;410,11;101316;0,000053;2,19;0,542;3;premium;Large;General_interest
370;02.06.2016;11855;117037;13;231,09;66078;0,000111;1,97;0,565;3;premium;Large;General_interest
374;03.06.2016;11855;98528;8;258,65;54943;0,000081;2,63;0,558;3;premium;Large;General_interest
378;04.06.2016;11855;134318;14;247,58;74314;0,000104;1,84;0,553;3;premium;Large;General_interest
382;05.06.2016;11855;149311;23;448,09;84200;0,000154;3,00;0,564;3;premium;Large;General_interest
386;06.06.2016;11855;143557;13;182,27;85261;0,000091;1,27;0,594;3;premium;Large;General_interest
390;07.06.2016;11855;152088;15;115,30;82880;0,000099;0,76;0,545;3;premium;Large;General_interest
394;08.06.2016;11855;107225;5;178,59;57060;0,000047;1,67;0,532;3;premium;Large;General_interest
398;09.06.2016;11855;96296;5;214,06;55595;0,000052;2,22;0,577;3;premium;Large;General_interest
402;10.06.2016;11855;46771;5;109,91;22301;0,000107;2,35;0,477;3;premium;Large;General_interest
406;11.06.2016;11855;57727;5;157,59;29374;0,000087;2,73;0,509;3;premium;Large;General_interest
410;12.06.2016;11855;93422;12;110,61;42716;0,000128;1,18;0,457;3;premium;Large;General_interest
414;13.06.2016;11855;88249;10;241,03;40509;0,000113;2,73;0,459;3;premium;Large;General_interest
418;14.06.2016;11855;152171;17;216,00;71751;0,000112;1,42;0,472;3;premium;Large;General_interest
422;15.06.2016;11855;85251;9;265,37;40285;0,000106;3,11;0,473;3;premium;Large;General_interest
426;16.06.2016;11855;153540;16;348,44;79267;0,000104;2,27;0,516;3;premium;Large;General_interest
430;17.06.2016;11855;149133;6;331,89;76186;0,000040;2,23;0,511;3;premium;Large;General_interest
434;18.06.2016;11855;26126;1;67,62;12720;0,000038;2,59;0,487;3;premium;Large;General_interest
438;19.06.2016;11855;70751;5;143,22;30355;0,000071;2,02;0,429;3;premium;Large;General_interest
442;20.06.2016;11855;92918;7;169,76;44338;0,000075;1,83;0,477;3;premium;Large;General_interest
446;21.06.2016;11855;61087;7;111,69;27455;0,000115;1,83;0,449;3;premium;Large;General_interest
450;22.06.2016;11855;97454;14;318,51;48094;0,000144;3,27;0,494;3;premium;Large;General_interest
454;23.06.2016;11855;80040;2;127,79;39930;0,000025;1,60;0,499;3;premium;Large;General_interest
458;24.06.2016;11855;118785;7;302,94;61917;0,000059;2,55;0,521;3;premium;Large;General_interest
462;25.06.2016;11855;91369;6;100,16;42990;0,000066;1,10;0,471;3;premium;Large;General_interest
466;26.06.2016;11855;79611;8;102,51;38944;0,000100;1,29;0,489;3;premium;Large;General_interest
470;27.06.2016;11855;93870;14;243,09;49126;0,000149;2,59;0,523;3;premium;Large;General_interest
474;28.06.2016;11855;93521;29;218,79;50029;0,000310;2,34;0,535;3;premium;Large;General_interest
478;29.06.2016;11855;181421;13;554,79;91440;0,000072;3,06;0,504;3;premium;Large;General_interest
482;30.06.2016;11855;164015;11;433,72;84757;0,000067;2,64;0,517;3;premium;Large;General_interest
367;01.07.2016;11855;109367;1;163,44;63169;0,000009;1,49;0,578;3;premium;Large;General_interest
371;02.07.2016;11855;84452;1;118,88;47581;0,000012;1,41;0,563;3;premium;Large;General_interest
375;03.07.2016;11855;329071;7;992,32;163336;0,000021;3,02;0,496;3;premium;Large;General_interest
379;04.07.2016;11855;145305;3;314,42;79648;0,000021;2,16;0,548;3;premium;Large;General_interest
383;05.07.2016;11855;229064;3;500,69;129842;0,000013;2,19;0,567;3;premium;Large;General_interest
387;06.07.2016;11855;153325;3;295,19;86462;0,000020;1,93;0,564;3;premium;Large;General_interest
391;07.07.2016;11855;138483;5;168,36;80438;0,000036;1,22;0,581;3;premium;Large;General_interest
395;08.07.2016;11855;88310;1;54,81;49776;0,000011;0,62;0,564;3;premium;Large;General_interest
399;09.07.2016;11855;73687;1;178,18;37363;0,000014;2,42;0,507;3;premium;Large;General_interest
403;10.07.2016;11855;102834;2;223,71;54035;0,000019;2,18;0,525;3;premium;Large;General_interest
407;11.07.2016;11855;99725;3;159,87;50608;0,000030;1,60;0,507;3;premium;Large;General_interest
411;12.07.2016;11855;156086;5;346,76;84922;0,000032;2,22;0,544;3;premium;Large;General_interest
415;13.07.2016;11855;71430;3;16,78;39262;0,000042;0,23;0,55;3;premium;Large;General_interest
419;14.07.2016;11855;124847;6;116,39;73703;0,000048;0,93;0,59;3;premium;Large;General_interest
423;15.07.2016;11855;99747;1;280,44;58133;0,000010;2,81;0,583;3;premium;Large;General_interest
427;16.07.2016;11855;123415;2;282,12;66439;0,000016;2,29;0,538;3;premium;Large;General_interest
431;17.07.2016;11855;82412;1;99,41;44369;0,000012;1,21;0,538;3;premium;Large;General_interest
435;18.07.2016;11855;72140;3;75,18;40109;0,000042;1,04;0,556;3;premium;Large;General_interest
439;19.07.2016;11855;77317;0;124,98;43362;0,000000;1,62;0,561;3;premium;Large;General_interest
443;20.07.2016;11855;58178;0;153,70;30218;0,000000;2,64;0,519;3;premium;Large;General_interest
447;21.07.2016;11855;157401;4;306,65;87334;0,000025;1,95;0,555;3;premium;Large;General_interest
451;22.07.2016;11855;94056;3;172,08;48376;0,000032;1,83;0,514;3;premium;Large;General_interest
455;23.07.2016;11855;48215;1;53,15;23202;0,000021;1,10;0,481;3;premium;Large;General_interest
459;24.07.2016;11855;146533;6;316,94;82396;0,000041;2,16;0,562;3;premium;Large;General_interest
463;25.07.2016;11855;64872;2;44,32;35430;0,000031;0,68;0,546;3;premium;Large;General_interest
467;26.07.2016;11855;149145;5;74,11;77264;0,000034;0,50;0,518;3;premium;Large;General_interest
471;27.07.2016;11855;78656;1;251,43;39002;0,000013;3,20;0,496;3;premium;Large;General_interest
475;28.07.2016;11855;105941;4;199,42;56547;0,000038;1,88;0,534;3;premium;Large;General_interest
479;29.07.2016;11855;65515;2;162,17;34188;0,000031;2,48;0,522;3;premium;Large;General_interest
483;30.07.2016;11855;42992;3;116,35;21137;0,000070;2,71;0,492;3;premium;Large;General_interest
486;31.07.2016;11855;69249;2;124,55;38439;0,000029;1,80;0,555;3;premium;Large;General_interest
368;01.08.2016;11855;146544;5;362,68;83067;0,000034;2,47;0,567;3;premium;Large;General_interest
372;02.08.2016;11855;269802;12;444,41;157747;0,000044;1,65;0,585;3;premium;Large;General_interest
376;03.08.2016;11855;203616;7;414,88;120710;0,000034;2,04;0,593;3;premium;Large;General_interest
380;04.08.2016;11855;71811;1;244,52;41614;0,000014;3,41;0,579;3;premium;Large;General_interest
384;05.08.2016;11855;75572;2;73,17;46010;0,000026;0,97;0,609;3;premium;Large;General_interest
388;06.08.2016;11855;224797;6;430,92;126921;0,000027;1,92;0,565;3;premium;Large;General_interest
392;07.08.2016;11855;120041;3;83,41;66921;0,000025;0,69;0,557;3;premium;Large;General_interest
396;08.08.2016;11855;140173;5;194,16;81741;0,000036;1,39;0,583;3;premium;Large;General_interest
400;09.08.2016;11855;132423;4;138,38;79878;0,000030;1,04;0,603;3;premium;Large;General_interest
404;10.08.2016;11855;150421;5;330,68;90364;0,000033;2,20;0,601;3;premium;Large;General_interest
408;11.08.2016;11855;99177;4;201,76;59062;0,000040;2,03;0,596;3;premium;Large;General_interest
412;12.08.2016;11855;220911;12;203,58;133658;0,000054;0,92;0,605;3;premium;Large;General_interest
416;13.08.2016;11855;131787;10;205,80;76426;0,000076;1,56;0,58;3;premium;Large;General_interest
420;14.08.2016;11855;123551;9;289,51;73497;0,000073;2,34;0,595;3;premium;Large;General_interest
424;15.08.2016;11855;133249;0;346,42;79548;0,000000;2,60;0,597;3;premium;Large;General_interest
428;16.08.2016;11855;341359;9;149,31;205342;0,000026;0,44;0,602;3;premium;Large;General_interest
432;17.08.2016;11855;116523;3;214,81;68915;0,000026;1,84;0,591;3;premium;Large;General_interest
436;18.08.2016;11855;62095;1;128,43;35214;0,000016;2,07;0,567;3;premium;Large;General_interest
440;19.08.2016;11855;90474;4;259,99;51553;0,000044;2,87;0,57;3;premium;Large;General_interest
444;20.08.2016;11855;69558;3;231,93;37991;0,000043;3,33;0,546;3;premium;Large;General_interest
448;21.08.2016;11855;112094;7;299,36;63872;0,000062;2,67;0,57;3;premium;Large;General_interest
452;22.08.2016;11855;222117;6;599,36;131162;0,000027;2,70;0,591;3;premium;Large;General_interest
456;23.08.2016;11855;129491;12;152,11;73151;0,000093;1,17;0,565;3;premium;Large;General_interest
460;24.08.2016;11855;84639;5;120,89;47000;0,000059;1,43;0,555;3;premium;Large;General_interest
464;25.08.2016;11855;136263;25;221,15;77182;0,000183;1,62;0,566;3;premium;Large;General_interest
468;26.08.2016;11855;90182;18;151,64;46410;0,000200;1,68;0,515;3;premium;Large;General_interest
472;27.08.2016;11855;97116;17;197,27;51044;0,000175;2,03;0,526;3;premium;Large;General_interest
476;28.08.2016;11855;51288;7;28,34;27296;0,000136;0,55;0,532;3;premium;Large;General_interest
480;29.08.2016;11855;66768;3;189,54;37341;0,000045;2,84;0,559;3;premium;Large;General_interest
484;30.08.2016;11855;107463;5;300,53;56348;0,000047;2,80;0,524;3;premium;Large;General_interest
487;31.08.2016;11855;46389;4;96,87;25422;0,000086;2,09;0,548;3;premium;Large;General_interest
369;01.09.2016;11855;74185;2;181,88;38535;0,000027;2,45;0,519;3;premium;Large;General_interest
373;02.09.2016;11855;96663;0;119,90;52700;0,000000;1,24;0,545;3;premium;Large;General_interest
377;03.09.2016;11855;36861;1;83,04;20225;0,000027;2,25;0,549;3;premium;Large;General_interest
381;04.09.2016;11855;84930;0;186,53;50145;0,000000;2,20;0,59;3;premium;Large;General_interest
385;05.09.2016;11855;82059;2;90,85;45281;0,000024;1,11;0,552;3;premium;Large;General_interest
389;06.09.2016;11855;96577;3;279,51;54958;0,000031;2,89;0,569;3;premium;Large;General_interest
393;07.09.2016;11855;76790;10;183,13;44739;0,000130;2,38;0,583;3;premium;Large;General_interest
397;08.09.2016;11855;61215;18;76,74;32422;0,000294;1,25;0,53;3;premium;Large;General_interest
401;09.09.2016;11855;63221;23;175,05;36834;0,000364;2,77;0,583;3;premium;Large;General_interest
405;10.09.2016;11855;52483;35;121,99;30596;0,000667;2,32;0,583;3;premium;Large;General_interest
409;11.09.2016;11855;112063;71;459,01;67653;0,000634;4,10;0,604;3;premium;Large;General_interest
413;12.09.2016;11855;132086;16;285,28;82186;0,000121;2,16;0,622;3;premium;Large;General_interest
417;13.09.2016;11855;50963;9;188,07;31768;0,000177;3,69;0,623;3;premium;Large;General_interest
421;14.09.2016;11855;19082;4;27,82;11391;0,000210;1,46;0,597;3;premium;Large;General_interest
425;15.09.2016;11855;80957;17;75,38;49612;0,000210;0,93;0,613;3;premium;Large;General_interest
429;16.09.2016;11855;57889;9;143,04;34652;0,000155;2,47;0,599;3;premium;Large;General_interest
433;17.09.2016;11855;42654;25;150,82;24580;0,000586;3,54;0,576;3;premium;Large;General_interest
437;18.09.2016;11855;121131;12;400,96;70775;0,000099;3,31;0,584;3;premium;Large;General_interest
441;19.09.2016;11855;63627;4;105,05;37982;0,000063;1,65;0,597;3;premium;Large;General_interest
445;20.09.2016;11855;89651;11;123,81;53772;0,000123;1,38;0,6;3;premium;Large;General_interest
449;21.09.2016;11855;55890;10;176,35;32857;0,000179;3,16;0,588;3;premium;Large;General_interest
453;22.09.2016;11855;27549;9;37,05;15734;0,000327;1,34;0,571;3;premium;Large;General_interest
457;23.09.2016;11855;26039;1;63,62;15798;0,000038;2,44;0,607;3;premium;Large;General_interest
461;24.09.2016;11855;12614;1;28,04;6588;0,000079;2,22;0,522;3;premium;Large;General_interest
465;25.09.2016;11855;13472;0;22,78;6672;0,000000;1,69;0,495;3;premium;Large;General_interest
469;26.09.2016;11855;31211;4;74,89;16869;0,000128;2,40;0,54;3;premium;Large;General_interest
473;27.09.2016;11855;27029;3;100,21;14297;0,000111;3,71;0,529;3;premium;Large;General_interest
477;28.09.2016;11855;45402;1;173,56;25775;0,000022;3,82;0,568;3;premium;Large;General_interest
481;29.09.2016;11855;4707;0;13,10;2940;0,000000;2,78;0,625;3;premium;Large;General_interest
485;30.09.2016;11855;83906;3;124,38;44779;0,000036;1,48;0,534;3;premium;Large;General_interest
488;01.06.2016;11955;1803;1;2,45;598;0,000555;1,36;0,332;5;premium;Small;Special_interest
492;02.06.2016;11955;1599;3;2,25;444;0,001876;1,40;0,278;5;premium;Small;Special_interest
496;03.06.2016;11955;745;0;0,07;207;0,000000;0,10;0,278;5;premium;Small;Special_interest
500;04.06.2016;11955;1279;2;2,65;354;0,001564;2,07;0,277;5;premium;Small;Special_interest
504;05.06.2016;11955;1163;1;2,13;340;0,000860;1,83;0,292;5;premium;Small;Special_interest
508;06.06.2016;11955;1185;1;3,70;393;0,000844;3,13;0,332;5;premium;Small;Special_interest
512;07.06.2016;11955;1062;0;1,98;321;0,000000;1,87;0,302;5;premium;Small;Special_interest
516;08.06.2016;11955;1284;0;4,18;351;0,000000;3,25;0,273;5;premium;Small;Special_interest
520;09.06.2016;11955;1052;0;1,71;273;0,000000;1,63;0,26;5;premium;Small;Special_interest
524;10.06.2016;11955;473;0;1,01;98;0,000000;2,14;0,207;5;premium;Small;Special_interest
528;11.06.2016;11955;881;0;2,87;225;0,000000;3,26;0,255;5;premium;Small;Special_interest
532;12.06.2016;11955;1033;0;2,13;302;0,000000;2,06;0,292;5;premium;Small;Special_interest
536;13.06.2016;11955;1111;1;1,99;321;0,000900;1,79;0,289;5;premium;Small;Special_interest
540;14.06.2016;11955;810;0;2,78;186;0,000000;3,43;0,23;5;premium;Small;Special_interest
544;15.06.2016;11955;620;0;1,73;147;0,000000;2,79;0,237;5;premium;Small;Special_interest
548;16.06.2016;11955;579;0;0,73;142;0,000000;1,26;0,245;5;premium;Small;Special_interest
551;17.06.2016;11955;775;0;1,66;242;0,000000;2,14;0,312;5;premium;Small;Special_interest
554;18.06.2016;11955;271;0;0,28;66;0,000000;1,03;0,244;5;premium;Small;Special_interest
558;19.06.2016;11955;285;0;0,53;53;0,000000;1,88;0,186;5;premium;Small;Special_interest
562;20.06.2016;11955;318;0;0,75;91;0,000000;2,36;0,286;5;premium;Small;Special_interest
566;21.06.2016;11955;365;0;0,55;98;0,000000;1,50;0,268;5;premium;Small;Special_interest
570;22.06.2016;11955;423;0;0,59;101;0,000000;1,41;0,239;5;premium;Small;Special_interest
574;23.06.2016;11955;336;0;0,64;86;0,000000;1,90;0,256;5;premium;Small;Special_interest
577;24.06.2016;11955;211;0;0,47;58;0,000000;2,22;0,275;5;premium;Small;Special_interest
581;25.06.2016;11955;125;0;0,28;14;0,000000;2,22;0,112;5;premium;Small;Special_interest
585;26.06.2016;11955;115;0;0,06;16;0,000000;0,52;0,139;5;premium;Small;Special_interest
589;27.06.2016;11955;477;0;0,98;154;0,000000;2,04;0,323;5;premium;Small;Special_interest
592;28.06.2016;11955;417;0;0,14;117;0,000000;0,34;0,281;5;premium;Small;Special_interest
596;29.06.2016;11955;503;0;0,90;157;0,000000;1,79;0,312;5;premium;Small;Special_interest
600;30.06.2016;11955;657;1;1,39;254;0,001522;2,12;0,387;5;premium;Small;Special_interest
489;01.07.2016;11955;1190;0;4,32;408;0,000000;3,63;0,343;5;premium;Small;Special_interest
493;02.07.2016;11955;833;0;1,72;234;0,000000;2,07;0,281;5;premium;Small;Special_interest
497;03.07.2016;11955;857;0;0,11;238;0,000000;0,13;0,278;5;premium;Small;Special_interest
501;04.07.2016;11955;693;0;1,80;234;0,000000;2,60;0,338;5;premium;Small;Special_interest
505;05.07.2016;11955;703;0;2,25;217;0,000000;3,21;0,309;5;premium;Small;Special_interest
509;06.07.2016;11955;653;0;0,53;225;0,000000;0,81;0,345;5;premium;Small;Special_interest
513;07.07.2016;11955;665;0;0,59;213;0,000000;0,89;0,32;5;premium;Small;Special_interest
517;08.07.2016;11955;602;0;1,32;188;0,000000;2,20;0,312;5;premium;Small;Special_interest
521;09.07.2016;11955;128;0;0,12;26;0,000000;0,96;0,203;5;premium;Small;Special_interest
525;10.07.2016;11955;122;0;0,31;17;0,000000;2,53;0,139;5;premium;Small;Special_interest
529;11.07.2016;11955;678;0;1,99;230;0,000000;2,93;0,339;5;premium;Small;Special_interest
533;12.07.2016;11955;493;0;1,04;171;0,000000;2,12;0,347;5;premium;Small;Special_interest
537;13.07.2016;11955;480;0;1,09;164;0,000000;2,26;0,342;5;premium;Small;Special_interest
541;14.07.2016;11955;510;0;0,44;168;0,000000;0,86;0,329;5;premium;Small;Special_interest
545;15.07.2016;11955;481;0;1,48;149;0,000000;3,07;0,31;5;premium;Small;Special_interest
555;18.07.2016;11955;69;0;0,16;1;0,000000;2,25;0,014;5;premium;Small;Special_interest
559;19.07.2016;11955;175;0;0,20;25;0,000000;1,16;0,143;5;premium;Small;Special_interest
563;20.07.2016;11955;303;0;0,20;100;0,000000;0,65;0,33;5;premium;Small;Special_interest
567;21.07.2016;11955;279;0;0,52;64;0,000000;1,87;0,229;5;premium;Small;Special_interest
571;22.07.2016;11955;138;0;0,25;22;0,000000;1,84;0,159;5;premium;Small;Special_interest
578;24.07.2016;11955;109;0;0,26;18;0,000000;2,41;0,165;5;premium;Small;Special_interest
582;25.07.2016;11955;119;0;0,27;22;0,000000;2,30;0,185;5;premium;Small;Special_interest
586;26.07.2016;11955;167;0;0,40;25;0,000000;2,41;0,15;5;premium;Small;Special_interest
593;28.07.2016;11955;151;0;0,45;23;0,000000;2,95;0,152;5;premium;Small;Special_interest
597;29.07.2016;11955;93;0;0,33;13;0,000000;3,52;0,14;5;premium;Small;Special_interest
603;31.07.2016;11955;66;0;0,15;13;0,000000;2,26;0,197;5;premium;Small;Special_interest
490;01.08.2016;11955;923;2;0,93;268;0,002167;1,01;0,29;5;premium;Small;Special_interest
